OBJECTID,ain,SiteAddress,usecode,usetype,usedescription,Vacant_Use,unitstotal,MaxYear,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,LUP_Description,LUP_MinDens,LUP_MaxDens,P_LUP_FINAL,P_LUP_Description,P_LUP_FINAL_MinDens,P_LUP_FINAL_MaxDens,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,Zoning_Description,P_Zoning_FINAL,P_Zoning_Description,Acres,Max_Units_Allowed_Rounded,RHNA_Eligible,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Consolidation_Adj_APNs,Shape__Area,Shape__Length
1,8574014019,11135 W HONDO PKWY TEMPLE CITY CA 91780,7410,Institutional,Hospitals,Non-Vacant,0,1956,5,San Gabriel Valley,West San Gabriel Valley Planning Area,SOUTH MONROVIA ISLANDS,General Plan 2035,H30,100,,,,,H30 - Residential 30 (0 - 30 du/net ac),0,30 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-3,80.3,A-1,19.69,,,R-3 - Limited Density Multiple Residence,R-3,R-3 - Limited Density Multiple Residence,1.24818365,38,Yes,20,0,0,20,40,VL/AM,,,54370.6640625,1399.66210581733
2,8401002014,20602 E ARROW HWY COVINA CA 91724,0501,Residential,Five or more apartments,Non-Vacant,44,1969,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.56500364,85,Yes,0,0,0,52,52,AM,HT,"8401002014, 8401001016",24611.458984375,810.513731268417
3,8401002013,20616 E ARROW HWY COVINA CA 91724,2100,Commercial,"Restaurants, Cocktail Lounges",Non-Vacant,0,1966,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.75192485,113,Yes,58,0,0,58,116,VL/AM,,,32753.7158203125,804.767289606386
4,8401021004,21324 E ARROW HWY COVINA CA 91724,0100,Residential,Single,Non-Vacant,0,1955,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3-BE,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.67581447,102,Yes,53,0,0,52,105,VL/AM,,,29438.3603515625,796.990174114633
5,4102002037,6720 SPRINGPARK AVE LOS ANGELES CA 90056,0500,Residential,Five or more apartments,Non-Vacant,22,1968,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,H50,100,,,,,H50 - Residential 50 (0 - 50 du/net ac),0,50 du/net ac,H100,H100 - Residential 100 (50 - 100 du/net ac),50,100,R-3,100,,,,,R-3 - Limited Density Multiple Residence,R-5,R-5 - High Density Multiple Residence,0.51191911,52,Yes,18,0,0,18,36,VL/AM,,,22299.1083984375,593.724405949068
6,6342030031,5747 WHITTIER BLVD LOS ANGELES CA 90022,2600,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",Non-Vacant,0,1969,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,MC,100,,,,,MC - Major Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.50015899,76,Yes,31,0,0,30,61,VL/AM,,,21786.8388671875,594.613378679619
7,5240011036,5039 WHITTIER BLVD LOS ANGELES CA 90022,1100,Commercial,Stores,Non-Vacant,4,2005,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,MC,100,,,,,MC - Major Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.69811405,105,Yes,0,0,0,81,81,AM,,,30409.724609375,708.547993627739
8,8725006038,19052 LA PUENTE DR WALNUT CA 91789,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,0,1975,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,SOUTH SAN JOSE HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2-BE,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,1.07067031,161,Yes,65,0,0,64,129,VL/AM,,,46638.2119140625,1245.41749617519
9,6008031032,E Gage Ave & Parmelee Ave 90001,2700,Commercial,Parking Lots (Commercial Use Properties),Non-Vacant,0,2005,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,1.09381385,165,Yes,0,0,132,0,132,M,DW,"6008031032, 6008031031",47646.33984375,2546.83877996745
10,6134001045,13218 AVALON BLVD LOS ANGELES CA 90061,0503,Residential,Five or more apartments,Non-Vacant,55,2014,2,South Los Angeles,Metro Planning Area,W RANCHO DOMINGUEZ - VICTORIA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,1.72042079,259,Yes,0,0,164,0,164,M,,,74941.23046875,1308.41603953067
11,4102002075,6740 SPRINGPARK AVE NO 215 LOS ANGELES CA 90056,010C,Residential,Single,Non-Vacant,3,1965,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,H50,100,,,,,H50 - Residential 50 (0 - 50 du/net ac),0,50 du/net ac,H100,H100 - Residential 100 (50 - 100 du/net ac),50,100,R-3,100,,,,,R-3 - Limited Density Multiple Residence,R-5,R-5 - High Density Multiple Residence,0.69256781,70,Yes,0,0,0,70,70,AM,,,30168.134765625,719.359469107713
12,8725006031,19050 LA PUENTE RD WEST COVINA CA 91792,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,0,1975,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,SOUTH SAN JOSE HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2-BE,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,2.18048876,328,Yes,132,0,0,131,263,VL/AM,,,94981.7109375,2105.51180629087
13,5013013015,4401 CRENSHAW BLVD LOS ANGELES CA 90043,2300,Commercial,Banks Savings & Loan,Non-Vacant,0,1964,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.51579546,78,Yes,40,0,0,40,80,VL/AM,,,22467.9580078125,609.554616942398
14,6008031031,1301 E GAGE AVE LOS ANGELES CA 90001,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,20,2005,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,6.97739598,1047,Yes,0,0,822,0,822,M,DW,"6008031032, 6008031031",303934.154296875,3423.18397162623
